SN,Filename,Title of Song,Url,Language,Lyrics,Genre,Meaning of Song,Sentiment,Onset_Strength,Chroma_Shift,HPSS,Zero_Crossing_Rate,MFCC
1,Segment_1_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.3279667,0.35905376,-3.874862e-05,0.03693493321371611,"[-2.32453491e+02  1.12234764e+02 -1.16020794e+01  2.18972778e+01
 -1.01382685e+00  2.21853294e+01  1.73532081e+00  5.28421164e+00
 -8.27435970e+00 -1.02615757e+01 -9.77956200e+00 -8.67633724e+00
 -1.11582775e+01 -1.18379402e+01 -7.84238577e+00 -8.04958534e+00
 -2.70168304e+00 -7.70850372e+00 -3.87753129e+00 -1.00696278e+00
  3.55495143e+00  4.93107706e-01  1.74450660e+00 -1.48113680e+00
 -1.82676971e+00  2.24872732e+00 -5.56188762e-01  2.36061305e-01
  1.25651288e+00  7.67378882e-02 -7.19065964e-01  3.26861143e+00
  2.64630437e+00  4.34399277e-01  9.05770302e-01  3.28373432e+00
  1.19902313e+00  2.33451653e+00  4.45192862e+00  4.32324123e+00]"
2,Segment_2_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.4115721,0.4486913,-5.0271956e-05,0.07567120279044409,"[-126.60356     115.997185    -28.963242     53.341743     -9.03059
   27.918976    -10.860964      4.5468163    -6.9214582    -3.8463354
   -8.720849     -4.525163     -7.4097366    -7.7530737    -4.1395054
   -7.179099     -1.34834      -7.3910937    -1.565198     -5.357268
    0.7898641    -9.130441     -1.0162711    -3.0395315    -6.92078
   -2.844514     -4.3310533    -5.310931     -3.2602       -3.0484912
   -6.127435      0.87385267    1.4671307     2.037472     -1.2553227
    2.726539     -1.9698644    -2.787872     -2.283778      0.7213097 ]"
3,Segment_3_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.3055993,0.44013864,6.056514e-06,0.05726108429538217,"[-9.8922394e+01  1.3588620e+02 -2.2241796e+01  5.4489506e+01
 -1.5639188e+01  2.8069534e+01 -9.4065809e+00  9.9100323e+00
 -4.6328402e+00  3.3934450e+00 -3.3574848e+00 -9.0116525e-01
 -5.1422110e+00 -3.7023852e+00  1.0096532e+00 -5.1462231e+00
  3.3702533e+00 -7.0175881e+00 -2.5567960e-02 -2.8873317e+00
  3.4113770e+00 -5.8862524e+00  1.1616503e+00  2.2573040e+00
 -1.0070125e+00  3.9391570e+00  3.1070013e+00  3.7415591e-01
  2.9814574e-01 -7.0465428e-01 -2.1760004e+00  2.8334084e+00
  9.8717600e-01  2.6652637e+00 -1.4667320e+00  1.6187667e+00
 -2.3956139e+00 -1.8912091e+00  2.3131576e-01  3.1110802e+00]"
4,Segment_4_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.2919034,0.45024794,9.406635e-06,0.049032449532617345,"[-7.8836891e+01  1.4454321e+02 -2.3418997e+01  5.2870178e+01
 -1.5230279e+01  3.0516953e+01 -1.0598256e+01  1.0470932e+01
 -4.2128916e+00  1.6150795e+00 -3.4099352e+00 -9.1590315e-01
 -5.3558049e+00 -2.3203816e+00  1.0606364e+00 -5.8243856e+00
  3.6891773e+00 -6.5590529e+00  6.6082186e-01 -3.9787247e+00
  3.3433573e+00 -5.4234438e+00 -1.0018506e+00  1.4956272e+00
  2.5205752e-01  2.6504698e+00  1.0046130e+00 -2.3809081e-01
  1.1290433e+00 -5.7777762e-01 -4.9392848e+00  1.3003150e-01
 -1.2954859e+00  3.0404398e-01 -3.3711510e+00  6.1424911e-01
 -3.6622903e+00 -7.9384196e-01  2.5500348e+00  3.9546974e+00]"
5,Segment_5_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.3609178,0.41885298,4.811318e-05,0.05999017217356688,"[-9.7716072e+01  1.3074808e+02 -3.2651966e+01  4.4171841e+01
 -1.7214924e+01  2.4390671e+01 -1.5548054e+01  7.3549743e+00
 -9.5895433e+00 -6.8131533e+00 -9.8074150e+00 -4.0476851e+00
 -6.5380096e+00 -5.1945925e+00 -3.6276956e+00 -9.7092314e+00
  1.2613391e+00 -8.5871010e+00 -2.6573672e+00 -6.7412825e+00
  6.0018140e-01 -8.7373381e+00 -2.0053747e+00 -2.3860731e+00
 -7.5012469e+00 -1.0457475e-01 -2.9365582e+00 -3.8554723e+00
  7.6892531e-01 -3.5490578e-01 -3.5588582e+00 -9.4940282e-02
  9.1491872e-01  1.0801731e+00 -4.0618701e+00  3.9920709e+00
 -1.0307447e+00 -7.3147458e-01  2.3838513e+00  4.3614058e+00]"
6,Segment_6_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.3726851,0.43979868,-5.992629e-05,0.059263337275896416,"[-9.1786003e+01  1.2845979e+02 -3.1276892e+01  5.4789997e+01
 -1.3496688e+01  2.7125666e+01 -9.8540926e+00  1.0997213e+01
 -8.5272198e+00 -9.8163836e-02 -3.5287218e+00  2.1019132e+00
 -3.4695623e+00 -2.9155531e+00  1.2436700e+00 -4.6814337e+00
  4.4987030e+00 -6.1412473e+00 -6.3147080e-01 -2.5746226e+00
  3.6048424e+00 -7.3586793e+00  2.5920362e+00  1.4321295e+00
 -2.4736619e+00  1.7582810e+00  1.2414031e+00 -4.3391347e-01
  5.2855587e-01  5.6682861e-01 -3.3590443e+00  1.0295607e+00
  7.4774241e-01  2.0466495e+00 -2.9022312e+00  3.4028449e+00
 -1.0670016e+00 -1.1056396e+00 -5.9435451e-01  2.6602581e+00]"
7,Segment_7_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.3276575,0.42328075,-7.1328854e-05,0.04402870610534717,"[-9.9115089e+01  1.4716623e+02 -1.6818604e+01  4.8423676e+01
 -1.6921848e+01  2.4354733e+01 -1.0620615e+01  1.0134641e+01
 -5.5186543e+00  3.9409900e+00 -7.2995000e-02 -5.7651567e-01
 -3.3659744e+00 -2.3115444e+00 -2.6160422e-01 -3.9596975e+00
  5.9255834e+00 -5.0229011e+00  2.7293426e-01 -2.3767810e+00
  4.4222021e+00 -4.8787284e+00  3.1084204e+00  3.1255143e+00
 -1.0937948e+00  5.3501587e+00  4.7878428e+00  3.8376756e+00
  3.8410120e+00  1.8678217e+00 -1.5279485e+00  2.2661395e+00
  1.0330932e+00  1.3505834e+00 -2.9812474e+00  9.8746872e-01
 -2.5161383e+00 -8.0211741e-01  1.5628529e+00  3.0183644e+00]"
8,Segment_8_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.2804552,0.44785756,-1.48614545e-05,0.0454549348335327,"[-8.0059021e+01  1.4971144e+02 -2.2334707e+01  5.0538597e+01
 -1.5057615e+01  2.9080854e+01 -9.1870031e+00  1.1056231e+01
 -5.1471410e+00  2.9707808e+00 -1.2299154e+00 -2.0488818e+00
 -4.3089576e+00 -1.7666882e+00  1.2408742e+00 -5.5695033e+00
  4.6564236e+00 -6.3022885e+00 -3.8162762e-01 -3.8955133e+00
  3.6363521e+00 -6.3077478e+00 -1.6660388e+00  3.0210652e+00
 -4.3941429e-01  4.5188255e+00  2.9207392e+00  1.2496139e+00
  2.0055926e+00 -6.0150877e-02 -3.4345548e+00 -2.6007381e-01
 -4.7650915e-01  3.8415089e-01 -3.0372531e+00  1.2307614e+00
 -3.1985850e+00 -9.1135651e-01  1.4148133e+00  3.9064691e+00]"
9,Segment_9_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.5055734,0.41095382,-6.0929047e-05,0.06605747767857142,"[-93.351555  137.39331   -25.414562   47.06343   -15.198418   29.555838
 -21.31827     4.715179   -8.719772   -6.771031   -6.31833    -3.1834364
  -6.827043   -3.9927433  -1.2168394  -8.212131   -0.7287548  -6.049728
  -1.6110984  -7.543859    0.7188319  -7.898379   -1.7895886  -4.679136
  -4.422659   -1.8872197  -4.5459     -4.6704464  -3.268907   -1.6851215
  -4.436641   -1.1720504  -4.747696   -1.0299729  -5.2710104  -1.8508642
  -3.7699263  -3.1870027  -3.8008354  -1.3523324]"
10,Segment_10_Akwaboah - Forget Ft. Strongman.mp3,Akwaboah - Forget Ft. Strongman,https://www.youtube.com/watch?v=EjlksQ3e0YU&pp=ygUPYWt3YWJvYWggZm9yZ2V0,English,"Akwaboah!
Na na na na ah! (x3)
The first time you gave me the answer
That you gonna be my lover
You should have seen my face (x2)
The first time you said that you love
That you gonna be there for me
You should have seen my face (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world) (Ã2)
My love look
Lady test my love and see
Don't anyone discourage you
Come and see how my love is like (x2)
chorus
Honey oo
Don't listen to what anyone will say
For you are the only one I love baby (x2)
For you're my only love baby (x2)
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go fit love you
Like i do woo woo
Like i do wooyeah
If love that you want you can make me your man
If love that you need baby come share my world
Have you heard
My love wait wait wait
I'd be a fool to let you go
How do you like how I love you
My love is as heavy as a pot
Put my heart aside
I'll love you with all I am
I'll give you all my world
So if you wrong me anytime I'll forgive you
If you'd seen inside my heart
How you live in it and rule as queen
When I wake up and you call me
How happy I am when you look into my eyes
My love if you give me the heart
Test my heart and see don't fight with me
I've met laides but you're unique
Become my family become my friend
No matter what we'll get our enemies
BUT
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do woo oo oo
Forget about them
Nobody go feet love you
Like i do woo woo
Like i do wooyeah
(If love that you want you can make me your man
If love that you need baby come share my world)Ã2",Rap,Forget about all the others for I love you. In this song the singer tells her lover to forget about his competition and haters as well. He promises that he'll be the best love for her,Positive,1.5996139,0.41643116,-0.00029775323,0.05946011824661084,"[-9.8640877e+01  1.4163667e+02 -2.3176758e+01  4.6194752e+01
 -1.4269839e+01  2.6679525e+01 -2.0038353e+01  7.2154479e+00
 -3.5005367e+00 -7.4553552e+00 -5.9037418e+00  2.5604675e+00
 -4.9979267e+00 -4.5195389e+00  1.5325273e+00 -7.1023412e+00
  9.3064404e-01 -2.7038095e+00  2.0659273e+00 -3.8665767e+00
  3.0433922e+00 -4.0028181e+00  6.8952751e-01 -2.8183000e+00
 -1.2639312e+00 -2.0518939e-01 -3.4703593e+00 -1.0527443e+00
 -9.4510728e-01 -7.1139175e-01 -5.0326357e+00  3.2918926e-02
 -3.4068282e+00 -3.4842634e-01 -4.4507923e+00 -2.0089064e+00
 -2.0951040e+00 -1.6903228e+00 -2.0345223e-01  2.0226557e+00]"
